query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,26.1,4.5,18.2,1085.5,13.3,10.3,843.4,846.9,
1th,24.7,91.7,51.2,1648.2,28.5,24.6,414.6,413.7,
2th,126.8,3713.5,1791.4,7796.1,42.3,24.0,409.4,27.5,
3th,32.6,2139.7,125.0,2759.1,34.6,27.4,404.0,405.8,
4th,51.3,3602.8,156.8,3315.1,53.8,47.6,1646.1,1662.7,
5th,114.3,1488.3,1518.0,4379.6,547.0,559.4,2730.3,2698.3,
6th,209.1,1008.8,318.7,5074.8,19.5,20.0,742.1,741.2,
7th,643.7,3680.7,1745.8,9654.1,694.1,679.0,7290.3,7473.5,
8th,63.1,10608.6,4308.7,8473.6,73.3,70.5,91.3,91.2,
9th,62.4,2193.4,2088.5,4344.0,3771.1,3643.1,1379.3,1409.5,
10th,40.1,72.1,63.0,6424.5,54.3,17.5,6303.6,18.9,
11th,2.6,2.3,24.1,17767.1,12.2,11.1,16793.1,17675.5,
12th,89.3,5.5,28.0,10969.2,29.8,10.6,10989.0,25.3,
