query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,1.5,2.4,10.9,6996.6,8.5,6.5,5659.0,7385.1,
1th,95.6,689.5,237.0,12310.7,53.2,47.6,1462.4,3175.1,
2th,18.6,4512.1,1916.6,51735.1,72.2,22.4,1019.2,23.3,
3th,98.2,1789.3,653.6,23306.9,46.5,39.1,721.6,2458.5,
4th,187.5,2875.5,806.9,23781.2,129.8,122.4,10925.6,12639.8,
5th,158.5,3447.7,15404.9,34494.0,1036.9,1048.0,12636.6,14897.9,
6th,1948.5,5077.5,1477.1,31028.0,35.1,38.4,4875.4,6377.5,
7th,437.5,12503.9,9837.8,57292.8,258.6,247.8,47751.6,55780.6,
8th,271.0,90338.3,30859.0,48128.9,340.7,348.4,435.0,426.4,
9th,294.4,8634.1,17732.7,25839.4,6.5,5.5,10402.9,10423.3,
10th,193.0,237.6,13.0,42432.2,8.3,47.8,43060.8,45.3,
11th,2.1,1.8,13.3,148118.3,11.5,6.3,145197.9,151614.1,
12th,2.9,13.0,105.1,74422.6,101.9,9.1,74818.9,64.7,
